user_id,external_user_id,username,last_name,first_name,last_name_phonetic,first_name_phonetic,email,grade,birthday,gender,remarks,student_tag,student_phone_number,home_phone_number,contact_preference,postal_code,prefecture,city,first_street,second_street,school,school_course,start_date,end_date,enrollment_status,location,status_start_date
,external_user_id+cvs+2,username,student+csv+02,first_name 2,lastname_phonetic,firstname_phonetic,student+csv+02@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+3,username,,firstname 3,lastname_phonetic,firstname_phonetic,student+csv+03@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+4,username,student+csv+04,firstname 4,lastname_phonetic,firstname_phonetic,student+csv+04@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+5,username,student+csv+05,firstname 5,lastname_phonetic,firstname_phonetic,email_is_wrong_format,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+6,username,student+csv+06,firstname 6,lastname_phonetic,firstname_phonetic,student+csv+06@email.com,grade_01,2000/11/11,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+7,username,student+csv+07,firstname 7,lastname_phonetic,firstname_phonetic,student+csv+07@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,1111,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+8,username,student+csv+08,firstname 8,lastname_phonetic,firstname_phonetic,student+csv+08@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+9,username,student+csv+09,firstname 9,lastname_phonetic,firstname_phonetic,student+csv+09@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,,
,external_user_id+cvs+10,username,student+csv+10,firstname 10,lastname_phonetic,firstname_phonetic,student+csv+10@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,1,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
,external_user_id+cvs+11,username,student+csv+11,firstname 11,lastname_phonetic,firstname_phonetic,student+csv+11@email.com,grade_01,2000/10/10,1,remarks 1 remarks 2,tag_user_student_partner_01,123456781,123456789,11111,7000000,01,HCM,street1,street2,school_partner_id_1,school_course_partner_id_01,2023/01/01,2023/11/11,1,location-id-2,
